@RELATION pacman-training

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE living_ghosts NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE move_west NUMERIC
@ATTRIBUTE move_east NUMERIC
@ATTRIBUTE move_north NUMERIC
@ATTRIBUTE move_south NUMERIC
@ATTRIBUTE move_stop NUMERIC
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost1_alive NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost2_alive NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost3_alive NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC
@ATTRIBUTE ghost4_alive NUMERIC
@ATTRIBUTE closest_food NUMERIC
@ATTRIBUTE score_now NUMERIC
@ATTRIBUTE living_ghosts_after NUMERIC
@ATTRIBUTE num_food_after NUMERIC
@ATTRIBUTE ghost1_distance_after NUMERIC
@ATTRIBUTE ghost1_alive_after NUMERIC
@ATTRIBUTE ghost2_distance_after NUMERIC
@ATTRIBUTE ghost2_alive_after NUMERIC
@ATTRIBUTE ghost3_distance_after NUMERIC
@ATTRIBUTE ghost3_alive_after NUMERIC
@ATTRIBUTE ghost4_distance_after NUMERIC
@ATTRIBUTE ghost4_alive_after NUMERIC
@ATTRIBUTE closest_food_after NUMERIC
@ATTRIBUTE score_after NUMERIC

@ATTRIBUTE action_taken {West, East, North, South, Stop}

@DATA
11, 7, 3, 0, 1, 0, 1, 1, 1, 5, 9, 8, 1, 3, 1, 0, 0, 17, 6, 7, 1, 25, 13, 20, 1, 0, 171, 3, 0, 7, 1, 0, 0, 8, 1, 19, 1, 0, 170, North
11, 8, 3, 0, 1, 0, 1, 1, 1, 5, 9, 7, 1, 3, 1, 0, 0, 17, 6, 8, 1, 25, 13, 19, 1, 0, 170, 3, 0, 6, 1, 0, 0, 9, 1, 18, 1, 0, 169, North
11, 9, 3, 0, 1, 0, 1, 1, 1, 5, 9, 6, 1, 3, 1, 0, 0, 17, 6, 9, 1, 25, 13, 18, 1, 0, 169, 3, 0, 5, 1, 0, 0, 10, 1, 19, 1, 0, 168, West
10, 9, 3, 0, 1, 1, 1, 1, 1, 5, 9, 5, 1, 3, 1, 0, 0, 17, 6, 10, 1, 25, 13, 19, 1, 0, 168, 3, 0, 4, 1, 0, 0, 11, 1, 20, 1, 0, 167, West
9, 9, 3, 0, 1, 1, 1, 1, 1, 5, 9, 4, 1, 3, 1, 0, 0, 17, 6, 11, 1, 25, 13, 20, 1, 0, 167, 3, 0, 3, 1, 0, 0, 12, 1, 21, 1, 0, 166, West
8, 9, 3, 0, 0, 1, 1, 1, 1, 5, 9, 3, 1, 3, 1, 0, 0, 17, 6, 12, 1, 25, 13, 21, 1, 0, 166, 3, 0, 4, 1, 0, 0, 11, 1, 22, 1, 0, 165, South
8, 8, 3, 0, 0, 1, 1, 1, 1, 5, 9, 4, 1, 3, 1, 0, 0, 17, 6, 11, 1, 25, 13, 22, 1, 0, 165, 3, 0, 5, 1, 0, 0, 10, 1, 23, 1, 0, 164, South
8, 7, 3, 0, 0, 1, 1, 1, 1, 5, 9, 5, 1, 3, 1, 0, 0, 17, 6, 10, 1, 25, 13, 23, 1, 0, 164, 3, 0, 6, 1, 0, 0, 9, 1, 24, 1, 0, 163, South
8, 6, 3, 0, 1, 1, 1, 1, 1, 5, 9, 6, 1, 3, 1, 0, 0, 17, 6, 9, 1, 25, 13, 24, 1, 0, 163, 3, 0, 5, 1, 0, 0, 10, 1, 25, 1, 0, 162, West
7, 6, 3, 0, 1, 1, 0, 0, 1, 5, 9, 5, 1, 3, 1, 0, 0, 17, 6, 10, 1, 25, 13, 25, 1, 0, 162, 3, 0, 4, 1, 0, 0, 11, 1, 26, 1, 0, 161, West
