%
%  Este dataset parte de training_tutorial1
%  
%  - Se han eliminado los datos futuros
%  - Se ha eliminado el atributo 'Stop'
%  - Se ha aplicado el filtro RemoveMissClassified
%

@relation training_tutorial1_v3

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute action_taken {West,East,North,South,Stop}

@data
4,12,4,0,1,1,0,0,3,9,4,1,7,3,12,1,14,3,19,1,24,15,22,1,0,-17,West
2,12,4,0,1,1,0,0,3,9,4,1,8,3,15,1,15,4,21,1,23,14,22,1,0,-19,West
1,11,4,0,0,0,1,1,3,9,4,1,9,4,15,1,16,4,22,1,22,13,24,1,0,-21,South
1,10,4,0,0,0,1,1,4,9,4,1,9,4,14,1,17,4,22,1,22,14,24,1,0,-22,South
1,9,4,0,0,0,1,1,4,10,4,1,10,4,14,1,16,4,20,1,22,13,25,1,0,-23,North
1,10,4,0,0,0,1,1,4,10,3,1,10,4,15,1,16,4,21,1,22,13,25,1,0,-24,North
1,12,4,0,0,1,1,1,6,10,7,1,10,4,17,1,16,4,23,1,23,14,23,1,0,-26,East
2,12,4,0,1,1,0,0,6,9,7,1,11,4,17,1,16,3,23,1,23,13,23,1,0,-27,East
3,12,4,0,1,1,0,0,6,10,5,1,10,4,15,1,16,3,22,1,23,14,21,1,0,-28,East
4,12,4,0,1,1,0,0,6,9,5,1,9,4,13,1,15,3,20,1,22,14,21,1,0,-29,East
5,12,4,0,1,1,0,0,5,9,3,1,8,4,11,1,14,3,18,1,23,14,19,1,0,-30,East
6,12,4,0,1,1,0,0,5,9,4,1,9,4,11,1,13,3,16,1,22,14,17,1,0,-31,East
7,12,4,0,1,1,0,0,5,10,4,1,9,5,9,1,14,3,16,1,22,13,17,1,0,-32,East
8,12,4,0,1,1,1,1,4,10,6,1,9,5,8,1,13,3,14,1,23,13,15,1,0,-33,South
8,11,4,0,0,1,1,1,4,9,6,1,9,4,8,1,13,3,13,1,22,13,17,1,0,-34,South
8,10,4,0,0,1,1,1,4,9,5,1,8,4,6,1,13,4,11,1,23,13,19,1,0,-35,South
