%
%  Este dataset parte de training_keyboard
%  
%  - Se han eliminado los datos futuros
%  - Se ha eliminado el atributo 'Stop'
%  - Se han eliminado las instancias iniciales generadas al empezar a jugar ('Stop')
%

@relation training_keyboard_v2

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute action_taken {West,East,North,South,Stop}

@data
8,1,4,22,1,1,1,0,1,1,0,1,1,5,11,1,10,5,6,1,17,1,0,1,3,0,Stop
8,1,4,22,1,1,1,0,2,1,0,1,1,4,10,1,10,5,6,1,17,1,10,1,3,-1,Stop
8,1,4,22,1,1,1,0,2,1,0,1,1,5,11,1,10,5,6,1,17,2,0,1,3,-2,Stop
8,1,4,22,1,1,1,0,1,1,0,1,2,5,10,1,10,5,6,1,17,1,10,1,3,-3,Stop
8,1,4,22,1,1,1,0,2,1,0,1,3,5,9,1,11,5,7,1,17,2,0,1,3,-4,Stop
8,1,4,22,1,1,1,0,3,1,0,1,4,5,8,1,11,5,7,1,17,1,0,1,3,-5,Stop
8,1,4,22,1,1,1,0,3,1,0,1,3,5,9,1,12,5,8,1,17,1,0,1,3,-6,West
7,1,4,22,1,1,1,0,4,1,0,1,4,5,7,1,12,5,9,1,17,1,0,1,2,-7,West
6,1,4,22,1,1,0,0,5,1,0,1,4,5,6,1,11,5,9,1,17,1,12,1,1,-8,West
5,1,3,21,1,1,1,0,1,1,0,0,4,5,5,1,12,5,11,1,17,2,0,1,1,291,West
4,1,3,20,1,1,0,0,1,2,4,0,3,5,5,1,13,5,13,1,17,1,14,1,1,390,West
3,1,3,19,1,1,0,0,1,1,0,0,3,5,4,1,13,5,14,1,17,2,16,1,1,489,West
2,1,3,18,1,1,0,0,1,1,0,0,3,5,5,1,14,5,16,1,17,3,16,1,2,788,West
1,1,3,18,0,1,1,0,1,2,1,0,3,5,6,1,15,5,18,1,17,2,18,1,1,987,North
1,2,3,17,0,0,1,1,1,1,0,0,3,4,4,1,16,5,18,1,17,3,18,1,1,1486,North
1,3,3,16,0,0,1,1,2,1,0,0,3,4,3,1,17,5,18,1,17,4,16,1,1,1585,North
1,4,3,15,0,0,1,1,3,1,0,0,3,4,2,1,17,5,17,1,17,3,17,1,2,1684,North
1,5,3,15,0,1,0,1,2,1,0,0,3,4,3,1,17,4,17,1,17,3,19,1,1,1683,East
2,5,3,14,1,1,0,0,3,1,0,0,3,5,1,1,17,3,17,1,17,2,0,1,6,1782,East
3,5,2,14,1,1,0,1,4,1,0,0,4,1,0,0,17,3,16,1,17,1,17,1,5,1981,South
3,4,2,14,0,0,1,1,3,1,0,0,5,1,0,0,17,3,15,1,17,2,16,1,4,1980,South
3,3,2,14,0,0,1,0,3,1,0,0,5,1,0,0,17,4,15,1,17,2,15,1,3,1979,North
3,4,2,14,0,0,1,1,4,1,0,0,6,1,0,0,17,4,14,1,17,2,16,1,4,1978,North
3,5,2,14,1,1,0,1,5,1,0,0,7,1,0,0,17,3,16,1,17,2,17,1,5,1977,East
4,5,2,14,1,1,0,0,5,1,0,0,7,1,0,0,17,4,14,1,17,2,0,1,4,1976,East
5,5,2,14,1,1,0,1,4,1,0,0,6,1,0,0,17,3,14,1,17,1,0,1,3,1975,East
6,5,2,14,1,1,0,0,3,1,0,0,5,1,0,0,17,2,14,1,17,1,0,1,4,1974,East
7,5,2,14,1,1,0,0,4,1,0,0,5,2,5,0,17,3,12,1,17,1,0,1,5,1973,East
8,5,2,14,1,1,0,0,4,1,0,0,5,3,5,0,17,4,10,1,17,1,12,1,6,1972,East
9,5,2,14,1,1,0,0,4,1,0,0,5,3,6,0,17,4,9,1,17,2,11,1,5,1971,East
10,5,2,14,1,1,0,0,5,1,0,0,5,2,8,0,17,4,8,1,17,2,9,1,4,1970,East
11,5,2,14,1,1,0,0,4,1,0,0,5,3,8,0,17,5,6,1,17,3,7,1,3,1969,East
12,5,2,14,1,1,0,1,3,1,0,0,5,2,10,0,16,5,4,1,17,4,5,1,2,1968,East
13,5,2,14,1,1,0,0,2,1,0,0,5,2,11,0,16,5,3,1,17,5,3,1,1,1967,East
14,5,2,13,1,1,0,1,2,1,0,0,5,2,12,0,15,5,1,1,16,5,1,1,1,2066,East
8,1,4,22,1,1,1,0,1,1,0,1,1,5,11,1,10,5,6,1,17,1,0,1,3,0,Stop
8,1,4,22,1,1,1,0,1,1,0,1,1,5,11,1,10,5,6,1,17,1,0,1,3,-1,Stop
8,1,4,22,1,1,1,0,1,1,0,1,1,5,11,1,10,5,6,1,17,1,0,1,3,-2,Stop
8,1,4,22,1,1,1,0,1,1,0,1,1,5,11,1,10,5,6,1,17,1,0,1,3,-3,Stop
8,1,4,22,1,1,1,0,1,1,0,1,1,5,11,1,10,5,6,1,17,1,0,1,3,-4,Stop
8,1,4,22,1,1,1,0,1,1,0,1,1,5,11,1,10,5,6,1,17,1,0,1,3,-5,West
7,1,4,22,1,1,1,0,1,1,0,1,1,5,10,1,10,5,7,1,17,1,0,1,2,-6,West
6,1,4,22,1,1,0,0,1,1,0,1,1,5,9,1,10,5,8,1,17,1,0,1,1,-7,West
5,1,4,21,1,1,1,0,1,1,0,1,1,5,8,1,10,5,9,1,17,1,0,1,1,92,West
4,1,4,20,1,1,0,0,1,1,0,1,1,5,7,1,10,5,10,1,17,1,0,1,1,191,West
3,1,4,19,1,1,0,0,1,1,0,1,1,5,6,1,10,5,11,1,17,1,0,1,1,290,West
2,1,4,18,1,1,0,0,1,1,0,1,1,5,5,1,10,5,12,1,17,1,0,1,2,389,West
1,1,3,18,0,1,1,0,1,1,0,0,1,5,4,1,10,5,13,1,17,1,0,1,1,788,North
1,2,3,17,0,0,1,1,1,1,0,0,1,5,3,1,10,5,12,1,17,1,0,1,1,887,North
1,3,3,16,0,0,1,1,1,1,0,0,1,5,2,1,10,5,11,1,17,1,0,1,1,986,North
1,4,3,15,0,0,1,1,1,1,0,0,1,5,1,1,10,5,10,1,17,1,0,1,2,1085,North
1,5,2,15,0,1,0,1,1,1,0,0,3,1,0,0,10,5,9,1,17,1,0,1,1,1284,Stop
1,5,2,15,0,1,0,1,1,1,0,0,3,1,0,0,10,5,9,1,17,1,0,1,1,1283,East
2,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,8,1,17,1,0,1,6,1382,East
3,5,2,14,1,1,0,1,1,1,0,0,3,1,0,0,10,5,7,1,17,1,0,1,5,1381,East
4,5,2,14,1,1,0,0,1,1,0,0,3,1,0,0,10,5,6,1,17,1,0,1,4,1380,East
