%
% Aplicados en este archivo:
%   - Eliminados atributos move_stop y todos los que acaban en _after (excepto score_after)
%   - Eliminadas todas las instancias cuya acción fuera 'Stop'
%

@relation 'pacman-training-tutorial'

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute score_after numeric

@data
13,6,2,0,0,1,1,1,1,1,0,0,3,1,0,0,15,3,5,1,24,18,23,1,0,334,333
13,5,2,0,0,1,1,1,1,1,0,0,3,1,0,0,15,4,3,1,24,18,25,1,0,333,332
13,4,2,0,0,1,1,1,1,1,0,0,3,1,0,0,16,4,3,1,25,18,25,1,0,332,331
14,4,2,0,1,1,1,1,1,1,0,0,3,1,0,0,15,4,1,1,24,18,25,1,0,331,530
15,4,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,23,1,0,530,529
16,4,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,24,18,22,1,0,529,528
17,4,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,18,22,1,0,528,527
17,5,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,20,1,0,527,526
17,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,17,18,1,0,526,525
18,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,16,18,1,0,525,524
19,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,17,18,1,0,524,523
20,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,16,1,0,523,522
21,6,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,24,18,15,1,0,522,521
22,6,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,24,18,13,1,0,521,520
23,6,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,18,12,1,0,520,519
23,7,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,18,12,1,0,519,518
23,8,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,18,11,1,0,518,517
23,9,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,18,10,1,0,517,516
23,10,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,18,9,1,0,516,515
22,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,24,18,10,1,0,515,514
21,10,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,24,18,11,1,0,514,513
20,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,24,18,13,1,0,513,512
20,11,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,12,1,0,512,511
20,12,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,11,1,0,511,510
20,13,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,9,1,0,510,509
20,14,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,17,9,1,0,509,508
20,15,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,7,1,0,508,507
20,16,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,17,6,1,0,507,506
20,17,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,17,6,1,0,506,505
21,17,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,5,1,0,505,504
21,18,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,5,1,0,504,503
22,18,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,25,17,5,1,0,503,502
23,18,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,25,16,4,1,0,502,501
24,18,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,25,16,3,1,0,501,500
25,18,1,0,1,0,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,16,3,1,0,500,499
25,17,1,0,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,15,3,1,0,499,498
25,16,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,14,3,1,0,498,497
25,15,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,14,1,1,0,497,496
25,14,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,15,3,1,0,496,495
25,15,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,16,3,1,0,495,494
25,16,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,16,2,1,0,494,493
24,16,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,23,16,1,1,0,493,692
1,18,4,0,0,1,0,1,5,9,13,1,11,3,25,1,17,6,28,1,25,13,29,1,0,0,-1
1,17,4,0,0,0,1,1,6,9,13,1,10,3,23,1,17,5,28,1,25,13,27,1,0,-1,-2
1,16,4,0,0,1,1,1,5,9,11,1,10,4,21,1,18,5,28,1,25,14,25,1,0,-2,-3
